plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources	salinity
Initial_000000002	38000000.0	12.0	11.0	0.029733976444888982	3.3369781751640057	0.9239705274001639	0.5711445077630274	0.0002785694166934347	0.06661031920570422	0.06528433988270718	0.0
Initial_000000001	39000000.0	10.0	11.0	0.11706050448709576	6.084609568133997	2.502227239128176	1.5477320388313196	0.001616753514235437	0.49098812045154727	0.47032219587587876	0.0
Initial_000000002	39000000.0	12.0	11.0	0.02986925777551442	3.34436902812319	0.9270119929726417	0.573021647871733	0.0002803088886200909	0.06705113260377987	0.06571025028480448	0.0
Initial_000000001	40000000.0	10.0	11.0	0.11718627333282003	6.087381604432217	2.504162084974395	1.5489334761524818	0.0016186310126491295	0.4917488764879155	0.4710451484932361	0.0
Initial_000000002	40000000.0	12.0	11.0	0.030004650600733176	3.351738907880483	0.9300526747157457	0.5748983065900158	0.0002820526560810404	0.06749328817727354	0.06613742278561967	0.0
Initial_000000001	41000000.0	10.0	11.0	0.11731199085621849	6.090150905218856	2.50609550402305	1.5501340385424331	0.0016205068473310385	0.49250965961221843	0.4717681225813466	0.0
Initial_000000002	41000000.0	12.0	11.0	0.03014015390617616	3.3590879490506675	0.9330925555530541	0.5767744735820021	0.00028380069846711874	0.06793678230641467	0.06656585385839237	0.0
Initial_000000001	42000000.0	10.0	11.0	0.11743765705129935	6.092917475419174	2.5080274977806822	1.5513337269117413	0.0016223810167433747	0.49327046911592043	0.4724911174801539	0.0
Initial_000000002	42000000.0	12.0	11.0	0.03027576668241461	3.366416284852887	0.9361316185870564	0.5786501386200945	0.0002855529951670677	0.06838161136517555	0.06699553997179401	0.0
Initial_000000001	43000000.0	10.0	11.0	0.11756327191221856	6.0956813199439175	2.5099580677520597	1.552532542169922	0.0016242535193589547	0.4940313042925798	0.4732141325315515	0.0
Initial_000000002	43000000.0	12.0	11.0	0.030411487924963655	3.3737240471307595	0.9391698470977677	0.5805252915841328	0.000287309525568595	0.06882777172151872	0.06742647759015302	0.0
Initial_000000001	44000000.0	10.0	11.0	0.11768883543327896	6.098442443689375	2.5118872154401757	1.5537304852254379	0.0016261243536611688	0.49479216443784324	0.47393716707937755	0.0
Initial_000000002	44000000.0	12.0	11.0	0.03054731663428509	3.381011366372117	0.9422072245413493	0.5823999224605564	0.0002890702690594191	0.0692752597376412	0.06785866317367689	0.0
Initial_000000001	45000000.0	10.0	11.0	0.11781434760892953	6.101200851537442	2.5138149423462477	1.554927556985697	0.0016279935181439385	0.4955530488494377	0.47466022046940803	0.0
Initial_000000002	45000000.0	12.0	11.0	0.030683251815789396	3.388278371728383	0.9452437345487323	0.584274021341571	0.0002908352050282977	0.06972407177021571	0.06829209317867113	0.0
Initial_000000001	46000000.0	10.0	11.0	0.11793980843376453	6.103956548355674	2.515741249969716	1.556123758357053	0.001629861011311679	0.49631395682716506	0.4753832920493512	0.0
Initial_000000002	46000000.0	12.0	11.0	0.030819292479836998	3.3955251910335864	0.9482793609242484	0.586147578424318	0.0002926043128660425	0.07017420417062854	0.0687267640577554	0.0
Initial_000000001	47000000.0	10.0	11.0	0.11806521790252272	6.10670953899735	2.517666139808242	1.557319090244804	0.0016317268316792617	0.49707488767289487	0.4761063811688411	0.0
Initial_000000002	47000000.0	12.0	11.0	0.030955437641738845	3.4027519508230344	0.951314087644264	0.5880205840100465	0.00029437757196651903	0.0706256532852146	0.06916267226007668	0.0
Initial_000000001	48000000.0	10.0	11.0	0.11819057601008656	6.10945982830153	2.519589613357709	1.5585135535531913	0.0016335909777719748	0.49783584069055825	0.4768294871794318	0.0
Initial_000000002	48000000.0	12.0	11.0	0.031091686321756254	3.4099587763516386	0.9543478988558214	0.5898930285032897	0.0002961549617276303	0.07107841545548921	0.06959981423151929	0.0
Initial_000000001	49000000.0	10.0	11.0	0.11831588275148142	6.112207421093109	2.5215116721122186	1.5597071491853998	0.001635453448125485	0.4985968151861415	0.4775526094345911	0.0
Initial_000000002	49000000.0	12.0	11.0	0.031228037545100083	3.417145791611909	0.9573807788752848	0.5917649024110437	0.00029793646155228836	0.07153248701837688	0.07003818641491241	0.0
Initial_000000001	50000000.0	10.0	11.0	0.11844113812187475	6.114952322182884	2.523432317564092	1.5608998780435561	0.0016373142412858016	0.4993578104676793	0.4782757472896949	0.0
Initial_000000002	50000000.0	12.0	11.0	0.03136449034192926	3.4243131193516234	0.9604127121869919	0.59363619634195	0.000299722050849369	0.07198786430643714	0.07047778525023428	0.0
Initial_000000001	51000000.0	10.0	11.0	0.11856634211657535	6.1176945363675985	2.5253515512038667	1.562091741028729	0.0016391733558092352	0.5001188258452486	0.4789989001020208	0.0
Initial_000000002	51000000.0	12.0	11.0	0.03150104374734863	3.4314608810911778	0.9634436834419111	0.5955069010054812	0.00030151170903465404	0.07244454364808735	0.07091860717481391	0.0
Initial_000000001	52000000.0	10.0	11.0	0.11869149473103258	6.120434068430012	2.5272693745202974	1.5632827390409274	0.0016410307902623624	0.5008798606309618	0.47972206723074223	0.0
Initial_000000002	52000000.0	12.0	11.0	0.031637696801406226	3.438589197140623	0.9664736774563051	0.597377007211131	0.0003033054155317576	0.07290252136782245	0.07136064862352963	0.0
Initial_000000001	53000000.0	10.0	11.0	0.11881659596083553	6.123170923138952	2.529185789000355	1.5644728729791013	0.0016428865432219894	0.501640914138961	0.48044524803692285	0.0
Initial_000000002	53000000.0	12.0	11.0	0.03177444854908991	3.445698186616399	0.9695026792103998	0.5992465058676069	0.00030510314977304036	0.07336179378643186	0.07180390602900517	0.0
Initial_000000001	54000000.0	10.0	11.0	0.11894164580171233	6.125905105249368	2.5311007961292233	1.5656621437411402	0.001644740613275109	0.5024019856854112	0.4811684418835098	0.0
Initial_000000002	54000000.0	12.0	11.0	0.0319112980403234	3.45278796745777	0.9725306738470598	0.6011153879820269	0.00030690489120050845	0.07382235722121341	0.07224837582180277	0.0
Initial_000000001	55000000.0	10.0	11.0	0.11906664424952931	6.128636619502392	2.5330143973903017	1.5668505522238723	0.0016465929990188719	0.5031630745884941	0.4818916481353293	0.0
Initial_000000002	55000000.0	12.0	11.0	0.03204824432996178	3.459858656442969	0.9755576466704694	0.6029836446591201	0.00030871061926669843	0.07428420798618444	0.07269405443061343	0.0
Initial_000000001	56000000.0	10.0	11.0	0.11919159130029028	6.1313654706253935	2.5349265942652015	1.5680380993230645	0.0016484436990605398	0.5039241801684011	0.4826148661590787	0.0
Initial_000000002	56000000.0	12.0	11.0	0.032185286477786366	3.466910369205053	0.9785835831448204	0.6048512671004307	0.00031052031343555003	0.07474734239228983	0.07314093828244471	0.0
Initial_000000001	57000000.0	10.0	11.0	0.11931648695013573	6.134091663332034	2.536837388233747	1.569224785933422	0.001650292712017455	0.504685301747329	0.4833380953233222	0.0
Initial_000000002	57000000.0	12.0	11.0	0.03232242354849916	3.4739432202474863	0.9816084688930057	0.6067182466035258	0.00031233395318326407	0.07521175674760748	0.07358902380280566	0.0
Initial_000000001	58000000.0	10.0	11.0	0.11944133119534216	6.136815202322325	2.5387467807739736	1.5704106129485875	0.001652140036517004	0.505446438649471	0.4840613349984849	0.0
Initial_000000002	58000000.0	12.0	11.0	0.03245965461171662	3.4809573229594437	0.9846322896953196	0.6085845745612075	0.0003141515179991472	0.07567744735755069	0.07403830741588903	0.0
Initial_000000001	59000000.0	10.0	11.0	0.11956612403232121	6.139536092282678	2.5406547733621276	1.5715955812611404	0.0016539856711965744	0.5062075902010129	0.4847845845568459	0.0
