plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources
Initial_000000002	3691000000.0	12.0	11.0	0.11832140595452502	9.686962867006256	4.6055310457499985	1.246358624602408	6.470605003328824e-05	0.244954842410051	0.2977380539143122
Initial_000000001	3692000000.0	10.0	11.0	0.333377988882487	9.640309461469744	5.254312249407733	3.26729251819339	0.001865152847278456	2.1680430522635	2.061055834429884
Initial_000000002	3692000000.0	12.0	11.0	0.11832141192868313	9.687097063158888	4.605819670469947	1.2463586629890073	6.478936013142957e-05	0.24498550938170083	0.2977321707497493
Initial_000000001	3693000000.0	10.0	11.0	0.33340753669652384	9.640703193272694	5.254637147799259	3.2674967260380017	0.0018645949466552423	2.168311322754168	2.061310175440111
Initial_000000002	3693000000.0	12.0	11.0	0.11832141793918845	9.68723143344225	4.606108654087848	1.2463587015644482	6.487278018921956e-05	0.24501621641155982	0.2977262805395634
Initial_000000001	3694000000.0	10.0	11.0	0.33343707157099245	9.641096737453758	5.254961894351547	3.267700838722228	0.0018640370856977382	2.1685794844500474	2.0615644132992346
Initial_000000002	3694000000.0	12.0	11.0	0.11832142398629661	9.68736597808931	4.606397997036365	1.2463587403298266	6.495631035315923e-05	0.24504696355279182	0.2977203832763686
Initial_000000001	3695000000.0	10.0	11.0	0.33346659351168745	9.641490094112244	5.255286489141954	3.267904856294303	0.0018634792645497277	2.1688475373917733	2.061818548045789
Initial_000000002	3695000000.0	12.0	11.0	0.11832143007026523	9.687500697333352	4.6066876997485515	1.2463587792862456	6.503995076990521e-05	0.24507775085862274	0.2977144789527795
Initial_000000001	3696000000.0	10.0	11.0	0.3334961025244008	9.641883263347397	5.25561093224779	3.2681087788024317	0.0018629214833548013	2.1691154816199645	2.0620725797182957
Initial_000000002	3696000000.0	12.0	11.0	0.11832143619135398	9.687635591407975	4.60697776265785	1.2463588184348153	6.512370158626861e-05	0.2451085783823409	0.2977085675614102
Initial_000000001	3697000000.0	10.0	11.0	0.33352559861492187	9.642276245258401	5.25593522374632	3.2683126062947903	0.0018623637422563717	2.1693833171752313	2.062326508355266
Initial_000000002	3697000000.0	12.0	11.0	0.11832144234982457	9.687770660547098	4.607268186198095	1.2463588577766533	6.520756294921311e-05	0.24513944617729636	0.29770264909487515
Initial_000000001	3698000000.0	10.0	11.0	0.33355508178903714	9.642669039944373	5.256259363714763	3.268516338819527	0.001861806041397663	2.1696510440981727	2.062580333995203
Initial_000000002	3698000000.0	12.0	11.0	0.11832144854594077	9.687905904984957	4.607558970803506	1.2463588973128847	6.529153500585666e-05	0.2451703542969014	0.2976967235457894
Initial_000000001	3699000000.0	10.0	11.0	0.33358455205253057	9.643061647504371	5.256583352230292	3.2687199764247623	0.0018612483809217154	2.1699186624293767	2.062834056676595
Initial_000000002	3699000000.0	12.0	11.0	0.11832145477996843	9.688041324956107	4.6078501169086925	1.2463589370446417	6.537561790346965e-05	0.2452013027946303	0.2976907909067678
Initial_000000001	3700000000.0	10.0	11.0	0.33361400941118324	9.643454068037391	5.256907189370034	3.268923519158588	0.0018606907609713895	2.1701861722094185	2.063087676437925
Initial_000000002	3700000000.0	12.0	11.0	0.1183214610521755	9.68817692069542	4.608141624948649	1.246358976973064	6.545981178947668e-05	0.24523229172401917	0.29768485117042576
Initial_000000001	3701000000.0	10.0	11.0	0.33364345387077365	9.643846301642363	5.2572308752110715	3.2691269670690675	0.0018601331816893545	2.1704535734788637	2.0633411933176595
Initial_000000002	3701000000.0	12.0	11.0	0.11832146736283207	9.68831269243809	4.6084334953587565	1.2463590170992993	6.554411681145147e-05	0.24526332113866597	0.2976789043293791
Initial_000000001	3702000000.0	10.0	11.0	0.3336728854370775	9.644238348418154	5.2575544098304405	3.269330320204236	0.001859575643218099	2.1707208662782653	2.0635946073542595
Initial_000000002	3702000000.0	12.0	11.0	0.11832147371221033	9.68844864041963	4.608725728574781	1.2463590574245023	6.56285331171227e-05	0.2452943910922306	0.2976729503762443
Initial_000000001	3703000000.0	10.0	11.0	0.33370230411586793	9.644630208463575	5.2578777933051315	3.2695335786121005	0.0018590181456999229	2.1709880506481674	2.0638479185861702
Initial_000000002	3703000000.0	12.0	11.0	0.11832148010058464	9.68858476487587	4.60901832503287	1.2463590979498353	6.571306085436922e-05	0.2453255016384349	0.29766698930363844
Initial_000000001	3704000000.0	10.0	11.0	0.33373170991291523	9.645021881877366	5.258201025712089	3.26973674234064	0.001858460689276951	2.1712551266291	2.064101127051831
